date,open,high,low,close,volume
11/15/00,139.0625,140.1093,137.75,139.5625,8837700
11/16/00,138.5781,139.875,137.3125,137.375,6684100
11/17/00,137.3125,139,135.75,136.6406,6551100
11/20/00,135.75,136.375,134.3125,134.6875,5458500
11/21/00,134.875,136.1875,133.5156,135.375,7684300
11/22/00,134.3437,134.875,132.125,132.1406,5736900
11/24/00,133.625,134.9687,133.625,134.8437,3411600
11/27/00,136.4687,136.6875,135.3125,136.0312,5992000
11/28/00,135.125,136.5937,133.6406,133.6875,5336100
11/29/00,134.375,135.9062,133.2656,133.4375,6914100
11/30/00,132.5,133.5,129.75,132.2812,11201600
12/1/00,133.1875,134.0625,131,132.2187,7587200
12/4/00,131.875,133.875,131.5,133.3437,6996600
12/5/00,134.875,138.25,134.4062,137.7187,8883400
12/6/00,137.7812,138.3437,135.0312,135.5156,12888000
12/7/00,134.875,135.875,133.6562,133.6562,6529100
12/8/00,137.0625,139.4687,133.875,133.9687,10276300
12/11/00,137.375,139.5625,136.7187,138.625,6405600
12/12/00,138.1875,138.8125,137.375,138.0312,5022900
12/13/00,139.25,139.4062,136.0312,136.1406,6070500
12/14/00,135.875,136.5,134.0312,134.4062,7678400
12/15/00,133.125,133.125,130.5625,130.9687,9065300
12/18/00,132.0625,133.4687,131.7656,132.7187,7235400
12/19/00,132.4687,134.9687,130.0156,130.0156,9616600
12/20/00,128.625,128.9375,126.0937,126.25,9994300
12/21/00,126,128.8593,125.5312,127.125,14331500
12/22/00,129,131.1093,128.8437,130.9375,10182900
12/26/00,130.8437,132.3437,130.2812,132.3437,4665300
12/27/00,131.75,133.7343,131.25,133.3125,4854100
12/28/00,132.8125,133.875,132.5937,133.7187,8358700
12/29/00,134.0625,134.2812,131.1875,131.1875,8774600
1/2/01,132,132.1562,127.5625,128.8125,8737500
1/3/01,128.3125,136,127.6562,135,19431600
1/4/01,134.9375,135.4687,133,133.5468,9219000
1/5/01,133.4687,133.625,129.1875,129.1875,12911400
1/8/01,129.875,130.1875,127.6875,130.1875,6625300
1/9/01,131.0468,131.5,129.4218,129.8437,5702400
1/10/01,129,132.125,128.8125,132.125,8746100
1/11/01,131.0937,133.4843,131.0937,132.25,7245100
1/12/01,132.6875,133.7187,131.2812,132,7244000
1/16/01,132,133.1875,131.5156,132.8437,8542200
1/17/01,134.8437,135.0468,132.6406,133.4531,7851400
1/18/01,133.4375,135.7031,132.9375,134.7812,8107000
1/19/01,136.1875,136.1875,133.875,134.0156,7782500
1/22/01,134.25,135.7812,133.5625,134.9062,7050900
1/23/01,134.4687,136.6562,134.1562,135.9687,8463100
1/24/01,136.25,137.3125,135.8437,136.375,6199900
1/25/01,136.25,137.25,135.6562,136.0312,10818300
1/26/01,135.1562,136.125,134.4531,135.875,7136800
1/29/01,135.5,136.9,135.37,136.6,6705900
1/30/01,136.3,137.92,135.79,137.8,7069100
1/31/01,137.4,138.7,136.6,137.02,9706900
2/1/01,137.1,137.95,136.25,137.93,8239100
2/2/01,137.4,137.99,134.75,134.8,8276600
2/5/01,134.8,135.94,134.75,135.79,4352900
2/6/01,135.3,136.7,135.22,135.39,7106700
2/7/01,134.72,135.4,133.68,134.69,5748700
2/8/01,134.8,135.4,133.1,133.12,5943300
2/9/01,133.35,133.35,131.26,131.84,9913000
2/12/01,131.7,133.5,131.7,133.35,5804400
2/13/01,133.7,134.17,132,132.26,6587600
2/14/01,132.65,132.65,130.66,132.06,8400100
2/15/01,132.84,133.52,131.99,133.34,5929800
2/16/01,131,131.29,129.3,130.4,6434900
2/20/01,131.04,131.14,128.1,128.39,5760000
2/21/01,127.9,128.84,125.5,125.62,10910800
2/22/01,126.35,126.54,123.02,125.81,21281600
2/23/01,125.08,125.54,121.8,124.96,20173000
2/26/01,125.8,127.62,124.5,127.62,11503700
2/27/01,126.8,127.84,125.51,126.44,11415000
2/28/01,126.75,126.84,123.27,123.95,14825800
3/1/01,124.05,124.6,121.75,124.6,14672000
3/2/01,122.5,125.65,122.3,123.61,12564300
3/5/01,124.15,124.78,123.81,124.74,5293200
3/6/01,126.35,127.75,125.49,126.08,6917000
3/7/01,126.9,127.04,125.76,126.98,6371700
3/8/01,126.6,127.24,126.14,127.12,6055000
3/9/01,126.1,126.1,123.11,123.36,10020300
3/12/01,122.34,122.5,117.75,118.08,13972900
3/13/01,119.4,120.44,117.53,120.02,12888000
3/14/01,117.05,119.29,115.75,117.65,19883400
3/15/01,118.45,118.86,117.36,117.68,10370300
3/16/01,117.13,117.4,114.81,115.01,58514600
3/19/01,115.76,117.69,114.82,117.35,10067800
3/20/01,117.9,118.46,114.11,114.2,15083900
3/21/01,114.18,115.26,111.9,112.26,19004600
3/22/01,112.02,112.6,108.04,111.12,28624800
3/23/01,113.25,114.66,111.5,114.48,12861700
3/26/01,115.7,116.27,114.77,115.94,9943800
3/27/01,115.62,118.65,115.28,118.31,12880700
3/28/01,116.9,116.95,114.9,115.04,10953300
3/29/01,114.7,116.5,112.14,115.48,12060300
3/30/01,115.55,116.69,114.5,116.69,9183600
4/2/01,116.3,117.38,113.8,114.2,10561000
4/3/01,113.98,114.15,110.06,110.39,12836000
4/4/01,110.57,112.1,109.3,110.85,14884300
4/5/01,113.3,115.49,112.5,115.05,21522800
4/6/01,113.99,114.4,112.06,113.3,14937800
4/9/01,114,114.99,112.78,114.56,9034300
4/10/01,115.45,117.75,115.17,116.65,17873600
4/11/01,118.78,118.99,116.14,116.73,12722300
4/12/01,116.3,118.94,115.96,118.85,9233200
4/16/01,118.29,118.89,116.91,117.6,7350000
4/17/01,117.31,119.66,117.02,119.26,10924700
4/18/01,121.06,126,120.69,124,32481600
4/19/01,124.25,125.84,123.58,125.65,13809900
4/20/01,124.9,125.4,123.66,124.5,7626700
4/23/01,123.65,123.89,121.91,122.24,8451800
4/24/01,122.52,123.65,121.1,121.58,10044700
4/25/01,121.42,123.67,120.95,123.17,8249000
4/26/01,123.73,125.22,123.5,123.72,10590400
4/27/01,124.92,125.84,124.2,125.78,7938700
4/30/01,126.45,127.27,124.67,126.66,10766900
5/1/01,125.07,127.15,124.6,127.05,10578000
5/2/01,127.41,127.69,126,126.82,9572900
5/3/01,126.13,126.15,124.22,125.21,9926200
5/4/01,123.65,127.35,123.44,127.34,12145300
5/7/01,126.86,127.38,126.23,126.24,7185200
5/8/01,126.86,127.1,125.56,126.18,6952600
5/9/01,125.25,126.55,125.06,125.65,9507400
5/10/01,127.26,127.5,125.77,126.02,6872400
5/11/01,126,126.49,124.4,125.15,7734400
5/14/01,124.9,125.44,124.46,125.4,7914000
5/15/01,125.55,126.5,124.85,125.98,9782200
5/16/01,124.84,129.2,124.62,128.95,14909000
5/17/01,129,130.08,128.56,129.15,11824600
5/18/01,129.09,129.74,128.1,129.74,6683100
5/21/01,129.84,131.84,129.15,131.65,11531500
5/22/01,131.83,132.09,131.07,131.48,8342700
5/23/01,131.05,131.05,129.25,129.25,12330800
5/24/01,129.47,130,128.55,129.63,7902800
5/25/01,129.65,129.7,127.9,128.1,7425000
5/29/01,128.22,128.35,126.9,127.08,9003900
5/30/01,126.59,127.09,125,125.3,10041800
5/31/01,125.43,126.76,125.26,125.95,9874200
6/1/01,126.2,127.1,125.12,126.73,8848300
6/4/01,126.8,127.43,126.08,127.34,5623500
6/5/01,127.49,129.23,127.27,128.8,9115400
6/6/01,128.83,128.83,127.36,127.73,12064900
6/7/01,127.05,128.35,127,128.19,7355300
6/8/01,127.7,127.87,126.14,127,8170600
6/11/01,126.71,126.99,125.41,126.1,7012200
6/12/01,124.86,126.74,124.04,125.88,9364400
6/13/01,126.17,126.58,124.65,124.8,7629400
6/14/01,124.18,124.3,121.75,122,12603000
6/15/01,120.91,122.4,120.4,121.85,16821100
6/18/01,121.65,122.44,120.91,121.26,11368300
6/19/01,122.38,122.89,120.89,121.79,7732300
6/20/01,121.19,122.86,121.1,122.43,8787200
6/21/01,122.22,124.31,122.15,123.82,12259100
6/22/01,123.49,123.59,122.16,122.85,12212000
6/25/01,123.28,123.44,121.5,121.72,8406800
6/26/01,120.9,122.39,120.57,121.55,8005800
6/27/01,121.6,122.24,120.91,121.48,10105100
6/28/01,122,123.94,121.93,122.15,10269300
6/29/01,122.8,124.01,122.26,122.6,9824200
7/2/01,122.8,124.32,122.62,124.13,8522200
7/3/01,123.98,124.1,123.05,124.1,3303100
7/5/01,123.07,123.65,121.66,121.68,5517900
7/6/01,121.31,121.49,119.05,119.05,11665900
7/9/01,119.49,120.54,119.2,119.7,8339300
7/10/01,120.29,120.64,118.21,118.26,8630700
7/11/01,118.1,118.89,117.09,118.38,15328600
7/12/01,119.5,121.47,119.31,121.19,12002800
