Symbol,Security,GICS_Sector,GICS_Sub_Industry,City,State,CIK,Latitude,Longitude
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,San Mateo, California,38777,37.496904,-122.3330573
FCX,Freeport-McMoRan Inc.,Materials,Copper,Phoenix, Arizona,831259,33.4484367,-112.0741417
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,San Francisco, California,39911,37.7790262,-122.4199061
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,Schaffhausen, Switzerland,1121788,47.6960491,8.634513
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,Stamford, Connecticut,749251,41.0534302,-73.5387341
GD,General Dynamics,Industrials,Aerospace & Defense,Falls Church, Virginia,40533,38.882334,-77.1710914
GE,General Electric,Industrials,Industrial Conglomerates,Boston, Massachusetts,40545,42.3602534,-71.0582912
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,Golden Valley, Minnesota,40704,46.3040364,-109.1714312
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,Detroit, Michigan,1467858,42.3315509,-83.0466403
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,Atlanta, Georgia,40987,33.7490987,-84.3901849
GILD,Gilead Sciences,Health Care,Biotechnology,Foster City, California,882095,37.5600336,-122.2688522
GL,Globe Life Inc.,Financials,Life & Health Insurance,McKinney, Texas,320335,33.1976496,-96.6154471
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,Atlanta, Georgia,1123360,33.7490987,-84.3901849
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,New York, New York,886982,40.7127281,-74.0060152
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,Lake Forest, Illinois,277135,42.2586342,-87.840625
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,Houston, Texas,45012,29.7589382,-95.3676974
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Winston-Salem, North Carolina,1359841,36.0998131,-80.2440518
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,Hartford, Connecticut,874766,41.7655582,-72.69061276
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,Pawtucket, Rhode Island,46080,41.878711,-71.3825558
HCA,HCA Healthcare,Health Care,Health Care Facilities,Nashville, Tennessee,860730,36.1622296,-86.7743531
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,Long Beach, California,765880,33.7690164,-118.1916048
HSIC,Henry Schein,Health Care,Health Care Distributors,Melville, New York,1000228,50.9335164,-102.8078608
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,Hershey, Pennsylvania,47111,40.2854881,-76.6506001
HES,Hess Corporation,Energy,Integrated Oil & Gas,New York, New York,4447,40.7127281,-74.0060152
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",Palo Alto, California,1645590,37.4443293,-122.1598465
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Tysons Corner, Virginia,1585689,38.916509,-77.22578585
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,Dallas, Texas,48039,32.7762719,-96.7968559
HOLX,Hologic,Health Care,Health Care Equipment,Marlborough, Massachusetts,859737,42.3459271,-71.5522874
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,Atlanta, Georgia,354950,33.7490987,-84.3901849
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,Morristown, New Jersey,773840,40.7970384,-74.4809492
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,Austin, Minnesota,48465,30.2711286,-97.7436995
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,Bethesda, Maryland,1070750,38.9819845,-77.12423413
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,Pittsburgh, Pennsylvania,4281,40.4416941,-79.9900861
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Palo Alto, California,47217,37.4443293,-122.1598465
HUM,Humana Inc.,Health Care,Managed Health Care,Louisville, Kentucky,49071,38.2542376,-85.759407
HBAN,Huntington Bancshares,Financials,Regional Banks,Columbus, Ohio,49196,39.9622601,-83.0007065
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,Newport News, Virginia,1501585,36.9786449,-76.4321089
IEX,IDEX Corporation,Industrials,Industrial Machinery,Lake Forest, Illinois,832101,42.2586342,-87.840625
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,Westbrook, Maine,874716,32.3582062,-101.0128064
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,London, United Kingdom,1598014,51.5073219,-0.1276474
ITW,Illinois Tool Works,Industrials,Industrial Machinery,Glenview, Illinois,49826,38.3084193,-85.6505526
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,San Diego, California,1110803,32.7174209,-117.1627714
INCY,Incyte,Health Care,Biotechnology,Wilmington, Delaware,879169,39.7459468,-75.546589
IR,Ingersoll Rand,Industrials,Industrial Machinery,Milwaukee, Wisconsin,1699150,43.0349931,-87.922497
INTC,Intel Corp.,Information Technology,Semiconductors,Santa Clara, California,50863,37.2333253,-121.6846349
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,Atlanta, Georgia,1571949,33.7490987,-84.3901849
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,Armonk, New York,51143,41.1330485,-73.71262372
IP,International Paper,Materials,Paper Packaging,Memphis, Tennessee,51434,35.1490215,-90.0516285
IPG,Interpublic Group,Communication Services,Advertising,New York, New York,51644,40.7127281,-74.0060152
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,New York, New York,51253,40.7127281,-74.0060152
INTU,Intuit Inc.,Information Technology,Application Software,Mountain View, California,896878,37.3893889,-122.0832101
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,Sunnyvale, California,1035267,37.3688301,-122.0363496
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,Atlanta, Georgia,914208,33.7490987,-84.3901849
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,Oxford, Massachusetts,1111928,39.7852062,-75.9790215
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,Durham, North Carolina,1478242,35.996653,-78.9018053
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,Boston, Massachusetts,1020569,42.3602534,-71.0582912
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,Monett, Missouri,779152,36.9289518,-93.9277149
J,Jacobs Engineering Group,Industrials,Construction & Engineering,Dallas, Texas,52988,32.7762719,-96.7968559
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,Lowell, Arkansas,728535,42.6334247,-71.3161718
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,Orrville, Ohio,91419,32.3062505,-87.2455492
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,New Brunswick, New Jersey,200406,46.500283,-66.750183
JCI,Johnson Controls International,Industrials,Building Products,Cork, Ireland,833444,51.898627,-8.4705942
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,New York, New York,19617,40.7127281,-74.0060152
JNPR,Juniper Networks,Information Technology,Communications Equipment,Sunnyvale, California,1043604,37.3688301,-122.0363496
KSU,Kansas City Southern,Industrials,Railroads,Kansas City, Missouri,54480,39.100105,-94.5781416
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,Battle Creek, Michigan,55067,42.3192548,-85.1824269
KEY,KeyCorp,Financials,Regional Banks,Cleveland, Ohio,91576,41.5051613,-81.6934446
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,Santa Rosa, California,1601046,14.15015235,-90.35088184
KMB,Kimberly-Clark,Consumer Staples,Household Products,Irving, Texas,55785,32.8295183,-96.9442177
KIM,Kimco Realty,Real Estate,Retail REITs,New Hyde Park, New York,879101,40.7308451,-73.6805499
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,Houston, Texas,1506307,29.7589382,-95.3676974
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,Milpitas, California,319201,37.4282724,-121.9066238
