id,Date,stock_open,stock_high,stock_low,stock_close,stock_volume,stock_dividends,stock_splits,price_change_dollar,price_change_pct,price_swing,volume_change,volume_change_pct,price_change_binary
6117,5/16/2017,225.1043191,225.1323811,224.1595296,224.5804749,51241800,0,0,-0.205825806,-0.091565102,0.972851484,-10677100,-17.24368488,0
6118,5/17/2017,224.5804902,224.5804902,220.5300324,220.59552,172174100,0,0,-3.984954834,-1.774399505,4.050457874,120932300,236.0032239,0
6119,5/18/2017,220.5113108,222.400904,220.2306759,221.4841766,107047700,0,0,0.888656616,0.402844362,2.170228081,-65126400,-37.82589832,1
6120,5/19/2017,222.0080163,223.6450366,221.9518922,222.9247437,115011400,0,0,1.440567017,0.65041532,1.693144416,7963700,7.43939384,1
6121,5/22/2017,223.4766276,224.234346,223.4018049,224.0566101,61010600,0,0,1.131866455,0.507734779,0.832541093,-54000800,-46.95256296,1
6122,5/23/2017,224.4588947,224.7301804,224.0472987,224.5524445,48341700,0,0,0.495834351,0.221298693,0.682881689,-12668900,-20.76508017,1
6123,5/24/2017,224.8049768,225.1884964,224.4401415,225.0762482,46927700,0,0,0.523803711,0.233265646,0.748354952,-1414000,-2.925010912,1
6124,5/25/2017,225.6281639,226.4513558,225.4036673,226.1520081,64071700,0,0,1.075759888,0.477953536,1.047688412,17144000,36.53279406,1
6125,5/26/2017,225.9462177,226.2829768,225.8620315,226.1052551,46629900,0,0,-0.04675293,-0.020673232,0.420945232,-17441800,-27.222315,0
6126,5/30/2017,225.7591396,226.1800849,225.5907672,225.9088135,35201900,0,0,-0.19644165,-0.086880621,0.589317633,-11428000,-24.50788014,0
6127,5/31/2017,226.226862,226.2642876,225.1043366,225.8526917,91796000,0,0,-0.056121826,-0.02484269,1.159951025,56594100,160.7700153,0
6128,6/1/2017,226.3484206,227.6673944,226.0397237,227.6486816,68962000,0,0,1.79598999,0.795204156,1.627670758,-22834000,-24.87472221,1
6129,6/2/2017,227.704853,228.5748198,227.3868067,228.4064331,88666100,0,0,0.757751465,0.332860028,1.188013057,19704100,28.57240219,1
6130,6/5/2017,228.2193701,228.5280671,228.0229213,228.2380829,44698800,0,0,-0.16835022,-0.073706426,0.505145753,-43967300,-49.58749736,0
6131,6/6/2017,227.6300051,228.2286862,227.4242071,227.5084076,50375400,0,0,-0.729675293,-0.319699186,0.804479109,5676600,12.69966979,0
6132,6/7/2017,227.8732429,228.1725764,227.15295,227.9293671,54144300,0,0,0.420959473,0.185030293,1.019626412,3768900,7.481627937,1
6133,6/8/2017,228.0322462,228.5560904,227.4709764,228.0415955,65950700,0,0,0.112228394,0.049238233,1.085113985,11806400,21.80543474,1
6134,6/9/2017,228.3315881,229.1921913,226.3297467,227.6954956,132256400,0,0,-0.346099854,-0.151770493,2.862444641,66305700,100.5382809,0
6135,6/12/2017,227.4335344,227.7048058,226.7319544,227.6486816,86108100,0,0,-0.046813965,-0.020559899,0.972851331,-46148300,-34.89305622,0
6136,6/13/2017,228.2286941,228.818026,227.8545237,228.7619019,60067000,0,0,1.113220215,0.489007978,0.963502256,-26041100,-30.24233493,1
6137,6/14/2017,229.0518769,229.0612262,227.583229,228.4719086,78602300,0,0,-0.289993286,-0.126766426,1.477997158,18535300,30.85770889,0
6138,6/15/2017,227.0126012,228.1632029,226.7132678,228.0322418,66464900,0,0,-0.439666748,-0.19243799,1.449935039,-12137400,-15.44153288,0
6139,6/16/2017,228.2042971,228.260695,227.1326954,228.0820923,84553100,1.183,0,0.049850464,0.021861147,1.127999569,18088200,27.21466518,1
6140,6/19/2017,228.9750718,230.0466734,228.871671,229.9808807,65123800,0,0,1.898788452,0.832502207,1.175002439,-19429300,-22.9788145,1
6141,6/20/2017,229.5954629,229.6048577,228.4110656,228.4298553,56906400,0,0,-1.551025391,-0.674414928,1.19379208,-8217400,-12.61812118,0
6142,6/21/2017,228.852869,228.9750595,227.8658641,228.3734589,55977600,0,0,-0.056396484,-0.024688754,1.109195358,-928800,-1.632153853,0
6143,6/22/2017,228.3828753,228.9186689,228.0820678,228.2700653,44148100,0,0,-0.103393555,-0.045273893,0.836601144,-11829500,-21.13256017,0
6144,6/23/2017,228.3359077,228.8999004,227.9223045,228.5427094,66986800,0,0,0.272644043,0.119439245,0.977595848,22838700,51.73201112,1
6145,6/26/2017,229.2664865,229.7176978,228.4674934,228.6930847,56700500,0,0,0.150375366,0.06579749,1.250204406,-10286300,-15.35571187,1
6146,6/27/2017,228.4581036,228.7777152,226.8319039,226.850708,82247700,0,0,-1.842376709,-0.805611027,1.945811227,25547200,45.0563928,0
6147,6/28/2017,227.9504811,229.0972847,227.6966766,228.8810883,70042600,0,0,2.030380249,0.895029276,1.40060812,-12205100,-14.83944232,1
6148,6/29/2017,229.0408785,229.0972763,225.5628742,226.8694763,106949700,0,0,-2.011611938,-0.878889538,3.534402168,36907100,52.69236151,0
6149,6/30/2017,227.7436621,228.1478704,227.0856636,227.2924652,86820700,0,0,0.422988892,0.186445924,1.062206751,-20129000,-18.82099716,1
6150,7/3/2017,228.3076866,228.7776876,227.677887,227.677887,39153800,0,0,0.385421753,0.169570845,1.099800601,-47666900,-54.90269026,1
6151,7/5/2017,228.072685,228.429876,227.1984757,228.2042847,54427600,0,0,0.526397705,0.231202824,1.231400299,15273800,39.00975129,1
6152,7/6/2017,227.377092,227.5086917,225.9200859,226.1174927,65400800,0,0,-2.086791992,-0.914440321,1.588605736,10973200,20.16109474,0
6153,7/7/2017,226.7378815,227.7436762,226.1268716,227.5838776,57972300,0,0,1.466384888,0.648505726,1.616804536,-7428500,-11.35842375,1
6154,7/10/2017,227.5838975,228.2325012,227.254891,227.8282928,36663300,0,0,0.244415283,0.107395693,0.977610167,-21309000,-36.75720991,1
6155,7/11/2017,227.8282663,227.9974741,226.3994737,227.6590729,50354600,0,0,-0.169219971,-0.074275222,1.598000434,13691300,37.34333789,0
6156,7/12/2017,228.7024949,229.548491,228.7024949,229.3698883,59610400,0,0,1.71081543,0.75148133,0.845996083,9255800,18.38124024,1
